filename,label
Abra\Abra_0.png,Abra
Abra\Abra_1.png,Abra
Abra\Abra_2.png,Abra
Abra\Abra_3.png,Abra
Abra\Abra_4.png,Abra
Abra\Abra_5.png,Abra
Abra\Abra_6.png,Abra
Abra\Abra_7.png,Abra
Abra\Abra_8.png,Abra
Abra\Abra_9.png,Abra
Abra\Abra_10.png,Abra
Abra\Abra_11.png,Abra
Abra\Abra_12.png,Abra
Abra\Abra_13.png,Abra
Abra\Abra_14.png,Abra
Abra\Abra_15.png,Abra
Abra\Abra_16.png,Abra
Abra\Abra_17.png,Abra
Abra\Abra_18.png,Abra
Abra\Abra_19.png,Abra
Abra\Abra_20.png,Abra
Abra\Abra_21.png,Abra
Abra\Abra_22.png,Abra
Abra\Abra_23.png,Abra
Abra\Abra_24.png,Abra
Abra\Abra_25.png,Abra
Abra\Abra_26.png,Abra
Abra\Abra_27.png,Abra
Abra\Abra_28.png,Abra
Abra\Abra_29.png,Abra
Abra\Abra_30.png,Abra
Abra\Abra_31.png,Abra
Abra\Abra_32.png,Abra
Abra\Abra_33.png,Abra
Abra\Abra_34.png,Abra
Abra\Abra_35.png,Abra
Abra\Abra_36.png,Abra
Abra\Abra_37.png,Abra
Abra\Abra_38.png,Abra
Abra\Abra_39.png,Abra
Abra\Abra_40.png,Abra
Abra\Abra_41.png,Abra
Abra\Abra_42.png,Abra
Abra\Abra_43.png,Abra
Abra\Abra_44.png,Abra
Abra\Abra_45.png,Abra
Abra\Abra_46.png,Abra
Abra\Abra_47.png,Abra
Abra\Abra_48.png,Abra
Abra\Abra_49.png,Abra
Abra\Abra_50.png,Abra
Abra\Abra_51.png,Abra
Abra\Abra_52.png,Abra
Abra\Abra_53.png,Abra
Abra\Abra_54.png,Abra
Abra\Abra_55.png,Abra
Abra\Abra_56.png,Abra
Abra\Abra_57.png,Abra
Abra\Abra_58.png,Abra
Abra\Abra_59.png,Abra
Abra\Abra_60.png,Abra
Abra\Abra_61.png,Abra
Abra\Abra_62.png,Abra
Abra\Abra_63.png,Abra
Abra\Abra_64.png,Abra
Abra\Abra_65.png,Abra
Abra\Abra_66.png,Abra
Abra\Abra_67.png,Abra
Abra\Abra_68.png,Abra
Abra\Abra_69.png,Abra
Abra\Abra_Shiny_0.png,Abra
Abra\Abra_Shiny_1.png,Abra
Abra\Abra_Shiny_2.png,Abra
Abra\Abra_Shiny_3.png,Abra
Abra\Abra_Shiny_4.png,Abra
Abra\Abra_Shiny_5.png,Abra
Abra\Abra_Shiny_6.png,Abra
Abra\Abra_Shiny_7.png,Abra
Abra\Abra_Shiny_8.png,Abra
Abra\Abra_Shiny_9.png,Abra
Abra\Abra_Shiny_10.png,Abra
Abra\Abra_Shiny_11.png,Abra
Abra\Abra_Shiny_12.png,Abra
Abra\Abra_Shiny_13.png,Abra
Abra\Abra_Shiny_14.png,Abra
Abra\Abra_Shiny_15.png,Abra
