filename,id,shiny
Abra\Abra_0.png,Abra,0
Abra\Abra_1.png,Abra,0
Abra\Abra_2.png,Abra,0
Abra\Abra_3.png,Abra,0
Abra\Abra_4.png,Abra,0
Abra\Abra_5.png,Abra,0
Abra\Abra_6.png,Abra,0
Abra\Abra_7.png,Abra,0
Abra\Abra_8.png,Abra,0
Abra\Abra_9.png,Abra,0
Abra\Abra_10.png,Abra,0
Abra\Abra_11.png,Abra,0
Abra\Abra_12.png,Abra,0
Abra\Abra_13.png,Abra,0
Abra\Abra_14.png,Abra,0
Abra\Abra_15.png,Abra,0
Abra\Abra_16.png,Abra,0
Abra\Abra_17.png,Abra,0
Abra\Abra_18.png,Abra,0
Abra\Abra_19.png,Abra,0
Abra\Abra_20.png,Abra,0
Abra\Abra_21.png,Abra,0
Abra\Abra_22.png,Abra,0
Abra\Abra_23.png,Abra,0
Abra\Abra_24.png,Abra,0
Abra\Abra_25.png,Abra,0
Abra\Abra_26.png,Abra,0
Abra\Abra_27.png,Abra,0
Abra\Abra_28.png,Abra,0
Abra\Abra_29.png,Abra,0
Abra\Abra_30.png,Abra,0
Abra\Abra_31.png,Abra,0
Abra\Abra_32.png,Abra,0
Abra\Abra_33.png,Abra,0
Abra\Abra_34.png,Abra,0
Abra\Abra_35.png,Abra,0
Abra\Abra_36.png,Abra,0
Abra\Abra_37.png,Abra,0
Abra\Abra_38.png,Abra,0
Abra\Abra_39.png,Abra,0
Abra\Abra_40.png,Abra,0
Abra\Abra_41.png,Abra,0
Abra\Abra_42.png,Abra,0
Abra\Abra_43.png,Abra,0
Abra\Abra_44.png,Abra,0
Abra\Abra_45.png,Abra,0
Abra\Abra_46.png,Abra,0
Abra\Abra_47.png,Abra,0
Abra\Abra_48.png,Abra,0
Abra\Abra_49.png,Abra,0
Abra\Abra_50.png,Abra,0
Abra\Abra_51.png,Abra,0
Abra\Abra_52.png,Abra,0
Abra\Abra_53.png,Abra,0
Abra\Abra_54.png,Abra,0
Abra\Abra_55.png,Abra,0
Abra\Abra_56.png,Abra,0
Abra\Abra_57.png,Abra,0
Abra\Abra_58.png,Abra,0
Abra\Abra_59.png,Abra,0
Abra\Abra_60.png,Abra,0
